"CODUSU","NRO_HOGAR","COMPONENTE","imp"
"TQRMNOPYQHLOKTCDEHNHB00717586",1,2,9
"TQRMNOQYRHKOLNCDEOJAH00794094",1,1,4
"TQRMNORSRHJMKNCDEFLID00794095",1,1,7
"TQRMNORSRHJMKNCDEFLID00794095",1,2,5
"TQRMNOSUTHMMQLCDEIJAH00718767",1,1,8
"TQSMNOPURHMOQRCDEIJAH00792293",1,2,9
"TQRMNOPURHMOQRCDEIJAH00792354",1,1,4
"TQRMNOPURHMOQRCDEIJAH00792354",1,2,6
"TQRMNOPVSHLOQPCDEIJAH00780558",1,1,9
"TQRMNOQRSHMKNNCDEIJAH00713150",1,1,8
"TQRMNOQRSHMKNNCDEIJAH00713150",1,2,10
"TQSMNOQQVHLMNQCDEIJAH00794115",1,1,3
"TQRMNOTTUHLMNTCDEIJAH00780529",1,2,11
"TQRMNOQPSHLOKTCDEFLID00714979",1,1,9
"TQRMNOPPTHJOKRCDEFLID00794135",1,2,7
"TQRMNOPPTHJOKRCDEFLID00794135",1,3,10
"TQRMNOPPTHJOKRCDEFLID00794135",1,4,5
"TQRMNOQTQHJOKRCDEFLID00794136",1,1,6
"TQRMNOQTQHJOKRCDEFLID00794136",1,2,5
"TQRMNOSQYHJMKTCDEHNHB00794155",1,1,2
"TQRMNOSQYHJMKTCDEHNHB00794155",1,2,7
"TQRMNOSQYHJMKTCDEHNHB00794155",1,3,3
"TQRMNORSSHJMMNCDEFKID00794158",1,1,6
"TQRMNOQQSHJNMOCDEFKID00794159",1,1,5
"TQRMNOTTPHJMQTCDEIJAH00794096",1,2,7
"TQRMNOTTPHJMQTCDEIJAH00794096",1,3,10
"TQRMNOPXQHLOQRCDEIJAH00718794",1,1,5
"TQRMNOPXQHLOQRCDEIJAH00718794",1,2,6
"TQRMNOPTPHMMQTCDEIJAH00709188",1,8,5
"TQRMNOSVQHKOLQCDEIKAH00794116",1,1,6
"TQRMNOSVQHKOLQCDEIKAH00794116",1,2,9
"TQRMNOQVTHJMLPCDEIKAH00794117",1,2,12
"TQRMNORVSHMLKRCDEFLID00714981",1,2,12
"TQRMNOPQPHJLLLCDEFLID00794137",1,1,6
"TQRMNOPQPHJLLLCDEFLID00794137",1,2,7
"TQRMNOTRUHJLLLCDEFLID00794138",1,1,7
"TQRMNORSXHKOLPCDEHIBB00790061",1,1,3
