"CODUSU","NRO_HOGAR","COMPONENTE","imp"
"TQRMNOSQQHKOKNCDEGKDB00789266",1,1,5
"TQRMNOSQQHKOKNCDEGKDB00789266",1,2,6
"TQRMNOSSRHJOLQCDEGJBF00794108",1,1,4
"TQRMNOSVRHKMLPCDEGJBF00789088",1,1,5
"TQRMNOQPTHJMLRCDEGJBF00794109",1,1,8
"TQRMNOSRTHJMLRCDEGJBF00794111",1,1,6
"TQRMNOQRUHKOMNCDEFKID00787671",1,1,6
"TQRMNOQRUHKOMNCDEFKID00787671",1,3,12
"TQRMNOSXPHJMKRCDEGGFB00794128",1,1,3
"TQRMNOQXPHKOKQCDEGNFJ00789551",1,1,3
"TQRMNORUVHJMKSCDEGNFJ00794130",1,1,4
"TQRMNOPXTHMOLRCDEGJBF00713123",1,3,7
"TQRMNOPXTHMOLRCDEGJBF00713123",1,4,11
"TQRMNOTUQHJMLRCDEFKID00794152",1,1,5
"TQRMNOTUQHJMLRCDEFKID00794152",1,2,4
"TQRMNOPPSHKMLSCDEFKID00787579",1,1,10
"TQRMNOPPSHKMLSCDEFKID00787579",1,2,9
"TQRMNOTWRHKNLTCDEFKID00787661",1,1,6
"TQRMNORUXHLOLSCDEFKID00776156",1,1,5
"TQRMNORXYHMMKSCDEGLDF00712464",1,2,9
"TQRMNORXYHKOKOCDEGKDB00789156",2,1,1
"TQRMNORXYHKOKOCDEGKDB00789156",2,2,8
"TQRMNOQRVHMLKMCDEGLDF00713627",1,1,2
"TQRMNOQRVHMLKMCDEGLDF00713627",1,4,4
"TQRMNOUXPHKLKNCDEGLDF00789418",1,3,7
"TQRMNOSRTHJMLRCDEGJBF00794111",1,2,7
"TQRMNORVPHMMLUCDEGJBF00713610",1,1,5
"TQRMNORVPHMMLUCDEGJBF00713610",1,2,12
"TQSMNOQVTHLMLTCDEGJBF00716239",1,3,6
"TQSMNOQVTHLMLTCDEGJBF00716239",1,4,15
"TQRMNOPXPHJLLSCDEGJBF00794112",1,1,11
"TQRMNOPXPHJLLSCDEGJBF00794112",1,2,10
"TQRMNOPRUHKMLSCDEGJBF00788920",1,1,6
"TQRMNORVQHMNKSCDEIGED00709686",1,1,7
"TQRMNORVQHMNKSCDEIGED00709686",1,2,9
"TQRMNOPUYHLLKUCDEIGED00718018",1,1,8
"TQRMNOPUYHLLKUCDEIGED00718018",1,2,10
"TQRMNOQQWHMOLPCDEHIBB00709453",1,2,2
"TQRMNORTRHKNMOCDEIJAH00792164",1,9,9
"TQRMNOSURHMOKOCDEFJAH00710016",1,1,4
"TQRMNOSUTHMOKOCDEFJAH00710549",1,1,7
"TQRMNOQPQHLMKQCDEFJAH00714678",1,2,11
"TQRMNOPUTHJOLQCDEFPCH00796751",1,2,6
"TQRMNORYQHJOLQCDEFPCH00796753",1,1,3
"TQRMNORYQHJOLQCDEFPCH00796753",1,2,3
"TQRMNOQPYHLOKMCDEOHCH00720238",1,1,6
"TQRMNOQPYHLOKMCDEOHCH00720238",1,2,6
"TQRMNOSWRHJKKMCDEOHCH00796754",1,1,3
"TQRMNOPXRHKMLLCDEOJAH00792986",1,1,6
"TQRMNOPXRHKMLLCDEOJAH00792986",1,2,1
"TQRMNOPUTHMMLNCDEFNFF00715413",1,2,3
"TQRMNOSRYHMOLPCDEFNFF00709631",1,1,3
"TQRMNOQQUHMNLQCDEFNFF00709368",1,4,2
"TQRMNOPXYHMOLMCDEIMBF00710007",1,1,5
"TQRMNOPXYHMOLMCDEIMBF00710007",1,8,6
"TQRMNOPWUHLMKPCDEHLEH00778820",1,1,4
"TQRMNOPWUHLMKPCDEHLEH00778820",1,2,2
"TQRMNOPWUHLMKPCDEHLEH00778820",1,3,5
"TQRMNOPQPHMMKOCDEHLEH00709999",1,1,2
"TQRMNOQXVHJKKMCDEHJGH00796843",1,1,0
"TQRMNOQXVHJKKMCDEHJGH00796843",1,2,3
"TQRMNOSPVHMLKRCDEIIAD00791370",1,1,8
"TQRMNOPTWHLLLNCDEIIAD00718592",1,1,7
"TQRMNOUPSHJOKMCDEGJBF00796873",1,4,4
"TQRMNOPQWHJLKUCDEIMBF00796874",1,1,3
"TQRMNOPRPHJLKUCDEIMBF00796875",1,1,4
"TQRMNOUSSHJMLLCDEIMBF00796876",1,1,8
"TQRMNOSXUHMKLNCDEIMBF00719896",1,1,3
"TQRMNOPYVHKMLNCDEIJAH00792152",1,2,9
"TQRMNOQYRHKMLNCDEIJAH00792090",1,1,8
"TQRMNOQYRHKMLNCDEIJAH00792090",1,2,9
"TQRMNOSYWHLKMQCDEIIAD00796911",1,2,19
"TQRMNORVXHKKMSCDEIIAD00791450",1,1,8
