"CODUSU","NRO_HOGAR","COMPONENTE","imp"
"TQRMNOSWPHKKKMCDEGGFB00788700",1,1,3
"TQRMNOSWPHKKKMCDEGGFB00788700",1,2,2
"TQRMNOQUUHMKKMCDEGGFB00713246",1,1,3
"TQRMNOSPUHJKNOCDEIIAD00794206",1,1,12
"TQRMNOSPUHJKNOCDEIIAD00794206",1,2,10
"TQRMNOSVRHLLNUCDEIIAD00718409",1,1,6
"TQRMNOQXPHKKTUCDEIJAH00792370",1,1,11
"TQRMNOSTXHLKQSCDEIJAH00719629",2,1,6
"TQRMNOPTRHMMLMCDEOJAH00794092",1,2,5
"TQRMNORYRHKMLLCDEOJAH00793101",1,1,3
"TQRMNORYRHKMLLCDEOJAH00793101",1,2,1
"TQRMNOQPQHKNLMCDEOJAH00793074",1,1,4
"TQRMNOQPQHKNLMCDEOJAH00793074",1,2,2
"TQRMNORVTHLMLLCDEOJAH00720343",1,1,4
"TQRMNOPUPHKOLNCDEOJAH00793001",1,1,4
"TQRMNOPUPHKOLNCDEOJAH00793001",1,3,5
"TQRMNOQYQHKOLNCDEOJAH00794093",1,1,3
"TQRMNOQYQHKOLNCDEOJAH00794093",1,2,2
"TQRMNOQYQHKOLNCDEOJAH00794093",1,3,5
"TQSMNOQVPHMMMTCDEIJAH00791558",1,2,10
"TQRMNOPTVHMMMUCDEIJAH00792123",1,1,15
"TQRMNOPTVHMMMUCDEIJAH00792123",1,4,13
"TQRMNORPSHMMMUCDEIJAH00713200",1,5,10
"TQRMNORPSHMMMUCDEIJAH00713200",1,6,8
"TQRMNOPTTHMMNLCDEIJAH00718939",1,1,11
"TQRMNOTTQHKMLNCDEGNFJ00789524",1,1,3
"TQRMNOPQRHKLKMCDEOHCH00792887",1,3,5
"TQRMNOPXTHMOLLCDEGNFJ00789581",1,1,2
"TQRMNOQRQHLLKRCDEHNHB00779262",1,1,7
"TQRMNOQRQHLLKRCDEHNHB00779262",1,2,6
"TQRMNOQYRHJNMOCDEFKID00794153",1,1,7
"TQRMNOTTVHLOKMCDEIHJF00718193",1,1,1
"TQRMNOTTVHLOKMCDEIHJF00718193",1,2,3
"TQRMNOTTVHLOKMCDEIHJF00718193",1,3,5
"TQRMNORVXHJOKMCDEIHJF00794154",1,1,2
"TQRMNOPYQHLOKTCDEHNHB00717586",1,2,9
"TQRMNOQYRHKOLNCDEOJAH00794094",1,1,8
"TQRMNORSRHJMKNCDEFLID00794095",1,1,4
"TQRMNORSRHJMKNCDEFLID00794095",1,2,8
"TQRMNOSUTHMMQLCDEIJAH00718767",1,1,5
"TQSMNOPURHMOQRCDEIJAH00792293",1,2,4
"TQRMNOPURHMOQRCDEIJAH00792354",1,1,9
"TQRMNOPURHMOQRCDEIJAH00792354",1,2,7
"TQRMNOPVSHLOQPCDEIJAH00780558",1,1,9
"TQRMNOQRSHMKNNCDEIJAH00713150",1,1,10
"TQRMNOQRSHMKNNCDEIJAH00713150",1,2,10
"TQSMNOQQVHLMNQCDEIJAH00794115",1,1,7
"TQRMNOTTUHLMNTCDEIJAH00780529",1,2,12
"TQRMNOQPSHLOKTCDEFLID00714979",1,1,7
"TQRMNOPPTHJOKRCDEFLID00794135",1,2,8
"TQRMNOPPTHJOKRCDEFLID00794135",1,3,10
"TQRMNOPPTHJOKRCDEFLID00794135",1,4,4
"TQRMNOQTQHJOKRCDEFLID00794136",1,1,6
"TQRMNOQTQHJOKRCDEFLID00794136",1,2,4
"TQRMNOSQYHJMKTCDEHNHB00794155",1,1,1
"TQRMNOSQYHJMKTCDEHNHB00794155",1,2,10
"TQRMNOSQYHJMKTCDEHNHB00794155",1,3,8
"TQRMNORSSHJMMNCDEFKID00794158",1,1,4
"TQRMNOQQSHJNMOCDEFKID00794159",1,1,4
"TQRMNOTTPHJMQTCDEIJAH00794096",1,2,10
"TQRMNOTTPHJMQTCDEIJAH00794096",1,3,9
"TQRMNOPXQHLOQRCDEIJAH00718794",1,1,6
"TQRMNOPXQHLOQRCDEIJAH00718794",1,2,7
"TQRMNOPTPHMMQTCDEIJAH00709188",1,8,4
"TQRMNOSVQHKOLQCDEIKAH00794116",1,1,5
"TQRMNOSVQHKOLQCDEIKAH00794116",1,2,7
"TQRMNOQVTHJMLPCDEIKAH00794117",1,2,12
"TQRMNORVSHMLKRCDEFLID00714981",1,2,14
"TQRMNOPQPHJLLLCDEFLID00794137",1,1,7
"TQRMNOPQPHJLLLCDEFLID00794137",1,2,4
"TQRMNOTRUHJLLLCDEFLID00794138",1,1,5
"TQRMNORSXHKOLPCDEHIBB00790061",1,1,1
"TQRMNORSXHKOLPCDEHIBB00790061",1,2,4
"TQRMNOTRSHJNMOCDEFKID00794160",1,1,2
"TQRMNOTRSHJNMOCDEFKID00794160",1,3,6
"TQRMNOPWRHJMMPCDEFKID00794161",1,1,1
"TQRMNOPPXHLMKUCDEIHJF00779696",1,1,2
"TQRMNOPWYHJOKTCDEIHJF00794163",1,2,10
"TQRMNOSRSHJOKTCDEIHJF00794164",1,1,6
"TQRMNOPWRHMNQUCDEIJAH00718797",1,1,4
"TQRMNOUPTHKKQTCDEIJAH00791905",1,1,7
"TQRMNOQTWHMLRTCDEIJAH00709209",1,1,11
"TQRMNOQVTHJMLPCDEIKAH00794117",1,4,12
"TQRMNOPWSHLOLPCDEHIBB00717024",1,1,1
"TQRMNOPWSHLOLPCDEHIBB00717024",1,2,3
"TQRMNORPRHMNLQCDEHIBB00712814",1,3,5
"TQRMNOUVYHJOLQCDEHIBB00794141",1,1,1
"TQRMNOQWQHKOKUCDEIHJF00791186",1,1,3
"TQRMNOQWQHKOKUCDEIHJF00791186",1,2,7
"TQRMNOPWVHJLLNCDEGPDJ00794165",1,1,2
"TQRMNOPWVHJLLNCDEGPDJ00794165",1,2,10
"TQRMNOQUYHLMLNCDEGPDJ00716924",1,1,2
"TQRMNOSRRHKOLPCDEGPDJ00794166",1,1,0
"TQRMNOSRRHKOLPCDEGPDJ00794166",1,2,0
"TQRMNOSRUHKOLPCDEGPDJ00789817",1,1,2
"TQRMNORSVHMOKMCDEGOIH00711268",1,1,0
"TQRMNOPYPHLOKNCDEGOIH00716734",1,1,2
"TQRMNOPYPHLOKNCDEGOIH00716734",1,3,3
"TQRMNOPWYHJMKOCDEGOIH00794099",1,1,1
"TQRMNOPXVHJMKOCDEGOIH00794100",1,2,7
"TQRMNORXXHLLLUCDEIKAH00719834",1,1,13
"TQRMNOSRVHJNLTCDEIKAH00794120",1,1,12
"TQRMNOQVQHJKLMCDEHJGH00794121",1,1,1
"TQRMNOQRVHKMKSCDEIOAH00792786",1,2,2
"TQRMNOPYTHLOKNCDEGOIH00716673",1,1,3
"TQSMNOPUYHKNKMCDEGJBF00789081",1,1,3
"TQRMNOSYXHJOKMCDEGJBF00794142",1,1,4
"TQRMNOSYXHJOKMCDEGJBF00794142",1,2,6
"TQRMNOSYXHJOKMCDEGJBF00794142",1,3,13
"TQRMNOSYXHJOKMCDEGJBF00794142",1,4,10
"TQRMNOPUUHJNKNCDEGJBF00794143",1,1,4
"TQRMNOPUUHJNKNCDEGJBF00794143",1,2,5
"TQRMNORWRHKKKOCDEHNHB00790592",1,1,4
"TQRMNORTTHKMKNCDEHNHB00790735",1,1,3
"TQRMNOSSUHLMLSCDEFLID00715114",1,1,10
"TQRMNOPQXHJOKQCDEGOIH00794168",1,1,0
"TQRMNOPQXHJOKQCDEGOIH00794168",1,2,1
"TQRMNOPQXHJOKQCDEGOIH00794168",1,3,4
"TQRMNOPQXHJOKQCDEGOIH00794168",1,5,4
"TQRMNOPQXHJOKQCDEGOIH00794168",1,6,4
"TQRMNOPXVHJMKOCDEGOIH00794100",1,3,2
"TQRMNOQTXHMOKUCDEIHJF00714416",2,1,5
"TQRMNOQSYHLMKTCDEHMHF00717478",1,1,6
"TQRMNOQSYHLMKTCDEHMHF00717478",1,2,1
"TQRMNORUUHJMKSCDEGNFJ00794101",1,1,4
"TQRMNOQQRHMNLMCDEGNFJ00789556",1,1,1
"TQRMNOUPUHJLKTCDEHPJB00794103",1,1,0
"TQSMNOPQWHKMLSCDEGGFB00788659",1,1,7
"TQSMNOPQWHKMLSCDEGGFB00788659",1,2,4
"TQRMNOPQYHLOKPCDEGOIH00716730",1,1,0
"TQRMNOPQYHLOKPCDEGOIH00716730",1,2,1
"TQRMNOQUSHLOKMCDEHGHJ00716985",1,1,3
"TQRMNORPPHLNLOCDEFMDB00715250",1,1,6
"TQRMNORPPHLNLOCDEFMDB00715250",1,2,13
"TQSMNOQPXHKNKMCDEGKDB00789195",1,1,3
"TQSMNORYWHLOKUCDEGIBJ00715891",1,2,1
"TQRMNOQVWHKOKSCDEGIBJ00788819",1,1,3
"TQRMNOPYXHJOLLCDEGIBJ00794145",1,1,2
"TQRMNOPYXHJOLLCDEGIBJ00794145",1,2,5
"TQRMNOQPQHJOLLCDEGIBJ00794146",1,1,3
"TQRMNOQXRHMKKSCDEGIBJ00715988",1,1,2
"TQRMNOQYSHMKKSCDEGOIH00713223",1,1,2
"TQRMNOSSWHKOKSCDEGKDB00789333",1,1,6
"TQRMNOSSWHKOKSCDEGKDB00789333",1,2,7
"TQRMNOPXPHJOKUCDEGKDB00794171",1,2,7
"TQRMNOQXXHJOKUCDEGKDB00794172",1,1,8
"TQRMNORRSHKMLTCDEGGFB00788562",1,1,6
"TQRMNOPRWHKKKOCDEGGFB00788566",1,1,1
"TQRMNOQTYHMMLQCDEHMHF00714190",2,1,3
"TQRMNOQQYHKNKPCDEGKDB00789350",1,1,5
"TQRMNORPWHMOKNCDEFLID00712777",1,2,7
"TQRMNORPWHMOKNCDEFLID00712777",1,4,4
"TQRMNORPWHMOKNCDEFLID00712777",1,5,9
"TQRMNORVWHJOKOCDEFLID00794122",1,3,10
"TQRMNOPVTHJOKPCDEFLID00794123",1,1,5
"TQRMNOPXSHJLLMCDEGIBJ00794147",1,1,5
"TQRMNOPXSHJLLMCDEGIBJ00794147",1,2,2
"TQRMNOQRRHLMLOCDEGIBJ00794148",1,1,4
"TQRMNORWVHLMLOCDEGIBJ00715941",2,2,5
"TQRMNOQTYHKMLLCDEGIBJ00788838",1,2,6
"TQRMNOSQUHKLKTCDEFMDB00787926",1,1,7
"TQRMNOSQUHKLKTCDEFMDB00787926",1,2,8
"TQRMNOSPUHKMKNCDEFMDB00787914",1,1,5
"TQRMNOPSPHLMKTCDEGKDB00716302",1,1,6
"TQRMNORRYHLMKUCDEGKDB00716305",1,1,7
"TQRMNOPTQHJNKMCDEHGHJ00794104",1,1,4
"TQRMNOTUTHLLKOCDEHGHJ00716967",1,1,4
"TQRMNOSSYHJOKTCDEFMDB00794106",1,1,6
"TQRMNOSSPHJOLQCDEGJBF00794107",1,1,6
"TQRMNOSSPHJOLQCDEGJBF00794107",1,2,5
"TQRMNOPYRHKNKRCDEFLID00794124",1,1,7
"TQRMNOPYRHKNKRCDEFLID00794124",1,2,3
"TQRMNORWYHJMKSCDEFLID00794125",1,1,3
"TQRMNOPXUHJKKUCDEFLID00794126",1,1,9
"TQRMNOQPWHKLKTCDEFLID00794127",1,1,11
"TQRMNORYPHKOLLCDEHPJB00790787",1,1,0
"TQRMNORYPHKOLLCDEHPJB00790787",1,2,4
"TQRMNORYPHKOLLCDEHPJB00790787",1,3,2
"TQRMNOSPUHKMKNCDEFMDB00787914",1,2,13
"TQRMNOQTSHLNRMCDEIJAH00780203",2,1,8
"TQRMNORPUHKMQRCDEIJAH00792033",1,1,5
"TQRMNORXXHLMLLCDEGJBF00716274",1,1,8
"TQRMNOQYRHMMLPCDEGJBF00712680",1,4,5
"TQRMNORSRHLLLOCDEGJBF00794151",1,1,5
"TQRMNOPXTHMOLRCDEGJBF00713123",1,1,4
"TQRMNORVTHJKLNCDEGKDB00794174",1,1,5
"TQRMNORVTHJKLNCDEGKDB00794174",1,2,8
"TQRMNOPSUHKNKQCDEGKDB00789306",1,1,7
"TQRMNOSQQHKOKNCDEGKDB00789266",1,1,6
"TQRMNOSQQHKOKNCDEGKDB00789266",1,2,5
"TQRMNOSSRHJOLQCDEGJBF00794108",1,1,10
"TQRMNOSVRHKMLPCDEGJBF00789088",1,1,2
"TQRMNOQPTHJMLRCDEGJBF00794109",1,1,9
"TQRMNOSRTHJMLRCDEGJBF00794111",1,1,7
"TQRMNOQRUHKOMNCDEFKID00787671",1,1,6
"TQRMNOQRUHKOMNCDEFKID00787671",1,3,15
"TQRMNOSXPHJMKRCDEGGFB00794128",1,1,4
"TQRMNOQXPHKOKQCDEGNFJ00789551",1,1,2
"TQRMNORUVHJMKSCDEGNFJ00794130",1,1,4
"TQRMNOPXTHMOLRCDEGJBF00713123",1,3,7
"TQRMNOPXTHMOLRCDEGJBF00713123",1,4,8
"TQRMNOTUQHJMLRCDEFKID00794152",1,1,3
"TQRMNOTUQHJMLRCDEFKID00794152",1,2,7
"TQRMNOPPSHKMLSCDEFKID00787579",1,1,9
"TQRMNOPPSHKMLSCDEFKID00787579",1,2,9
"TQRMNOTWRHKNLTCDEFKID00787661",1,1,6
"TQRMNORUXHLOLSCDEFKID00776156",1,1,7
"TQRMNORXYHMMKSCDEGLDF00712464",1,2,3
"TQRMNORXYHKOKOCDEGKDB00789156",2,1,5
"TQRMNORXYHKOKOCDEGKDB00789156",2,2,6
"TQRMNOQRVHMLKMCDEGLDF00713627",1,1,3
"TQRMNOQRVHMLKMCDEGLDF00713627",1,4,3
"TQRMNOUXPHKLKNCDEGLDF00789418",1,3,7
"TQRMNOSRTHJMLRCDEGJBF00794111",1,2,2
"TQRMNORVPHMMLUCDEGJBF00713610",1,1,2
"TQRMNORVPHMMLUCDEGJBF00713610",1,2,8
